customer_id,bill_period_end,bill_amount,usage_m3,due_date
C100000,2022-01-31,43.33,13.26,2022-02-14
C100000,2022-02-28,32.38,8.95,2022-03-14
C100000,2022-03-31,37.12,10.91,2022-04-14
C100000,2022-04-30,35.53,9.88,2022-05-14
C100000,2022-05-31,31.61,8.6,2022-06-14
C100000,2022-06-30,36.35,10.84,2022-07-14
C100000,2022-07-31,23.53,5.0,2022-08-14
C100000,2022-08-31,34.69,9.98,2022-09-14
C100000,2022-09-30,36.27,10.86,2022-10-14
C100000,2022-10-31,29.97,7.98,2022-11-14
C100000,2022-11-30,47.6,16.14,2022-12-14
C100000,2022-12-31,36.02,10.68,2023-01-14
C100000,2023-01-31,40.11,11.8,2023-02-14
C100000,2023-02-28,36.9,10.69,2023-03-14
C100000,2023-03-31,38.73,11.79,2023-04-14
C100000,2023-04-30,47.14,14.98,2023-05-14
C100000,2023-05-31,51.88,17.32,2023-06-14
C100000,2023-06-30,40.11,12.57,2023-07-14
C100000,2023-07-31,42.72,13.25,2023-08-14
C100000,2023-08-31,47.42,14.94,2023-09-14
C100000,2023-09-30,37.98,11.72,2023-10-14
C100000,2023-10-31,49.27,15.67,2023-11-14
C100000,2023-11-30,44.3,14.18,2023-12-14
C100000,2023-12-31,41.26,12.75,2024-01-14
C100000,2024-01-31,41.68,13.47,2024-02-14
C100000,2024-02-29,28.48,7.24,2024-03-14
C100000,2024-03-31,41.12,12.81,2024-04-14
C100000,2024-04-30,30.3,7.5,2024-05-14
C100000,2024-05-31,28.73,6.99,2024-06-14
C100000,2024-06-30,38.84,11.22,2024-07-14
C100000,2024-07-31,30.89,7.94,2024-08-14
C100000,2024-08-31,37.51,10.73,2024-09-14
C100000,2024-09-30,37.26,11.44,2024-10-14
C100000,2024-10-31,40.53,12.03,2024-11-14
C100000,2024-11-30,34.71,9.54,2024-12-14
C100000,2024-12-31,46.32,14.87,2025-01-14
C100000,2025-01-31,40.58,12.22,2025-02-14
C100000,2025-02-28,43.88,13.59,2025-03-14
C100000,2025-03-31,31.42,8.75,2025-04-14
C100000,2025-04-30,36.96,11.08,2025-05-14
C100000,2025-05-31,44.91,13.85,2025-06-14
C100000,2025-06-30,41.62,13.12,2025-07-14
C100000,2025-07-31,31.41,8.7,2025-08-14
C100000,2025-08-31,34.17,9.42,2025-09-14
C100000,2025-09-30,31.72,8.6,2025-10-14
C100000,2025-10-31,35.4,9.83,2025-11-14
C100000,2025-11-30,31.17,8.19,2025-12-14
C100000,2025-12-31,40.68,11.96,2026-01-14
C100001,2022-01-31,47.74,14.95,2022-02-14
C100001,2022-02-28,37.9,10.63,2022-03-14
C100001,2022-03-31,41.29,12.32,2022-04-14
C100001,2022-04-30,38.43,11.49,2022-05-14
C100001,2022-05-31,44.63,14.4,2022-06-14
C100001,2022-06-30,36.03,9.7,2022-07-14
C100001,2022-07-31,36.01,9.68,2022-08-14
C100001,2022-08-31,33.57,9.1,2022-09-14
C100001,2022-09-30,33.18,8.61,2022-10-14
C100001,2022-10-31,43.6,13.56,2022-11-14
C100001,2022-11-30,41.62,12.2,2022-12-14
C100001,2022-12-31,43.86,13.1,2023-01-14
C100001,2023-01-31,51.16,16.85,2023-02-14
C100001,2023-02-28,51.95,16.86,2023-03-14
C100001,2023-03-31,31.2,7.88,2023-04-14
C100001,2023-04-30,44.82,13.88,2023-05-14
C100001,2023-05-31,41.65,12.21,2023-06-14
C100001,2023-06-30,35.51,10.08,2023-07-14
C100001,2023-07-31,39.34,11.96,2023-08-14
C100001,2023-08-31,29.42,6.84,2023-09-14
C100001,2023-09-30,49.15,15.48,2023-10-14
C100001,2023-10-31,44.3,13.52,2023-11-14
C100001,2023-11-30,35.71,10.11,2023-12-14
C100001,2023-12-31,38.88,11.22,2024-01-14
C100001,2024-01-31,31.57,8.01,2024-02-14
C100001,2024-02-29,41.72,12.02,2024-03-14
C100001,2024-03-31,39.27,11.2,2024-04-14
C100001,2024-04-30,32.79,8.46,2024-05-14
C100001,2024-05-31,44.02,13.67,2024-06-14
C100001,2024-06-30,45.76,14.53,2024-07-14
C100001,2024-07-31,37.67,11.06,2024-08-14
C100001,2024-08-31,37.68,10.48,2024-09-14
C100001,2024-09-30,42.38,12.76,2024-10-14
C100001,2024-10-31,39.67,12.05,2024-11-14
C100001,2024-11-30,34.84,9.49,2024-12-14
C100001,2024-12-31,39.04,11.02,2025-01-14
C100001,2025-01-31,40.14,12.19,2025-02-14
C100001,2025-02-28,45.03,13.67,2025-03-14
C100001,2025-03-31,41.84,12.61,2025-04-14
C100001,2025-04-30,41.01,12.68,2025-05-14
C100001,2025-05-31,31.64,7.59,2025-06-14
C100001,2025-06-30,41.92,12.96,2025-07-14
C100001,2025-07-31,37.63,11.14,2025-08-14
C100001,2025-08-31,53.55,17.8,2025-09-14
C100001,2025-09-30,36.68,10.59,2025-10-14
C100001,2025-10-31,41.63,12.99,2025-11-14
C100001,2025-11-30,60.45,20.68,2025-12-14
C100001,2025-12-31,42.91,13.51,2026-01-14
C100002,2022-01-31,51.65,,2022-02-14
C100002,2022-02-28,51.19,,2022-03-14
C100002,2022-03-31,51.37,,2022-04-14
C100002,2022-04-30,50.76,,2022-05-14
C100002,2022-05-31,50.39,,2022-06-14
C100002,2022-06-30,50.81,,2022-07-14
C100002,2022-07-31,50.51,,2022-08-14
C100002,2022-08-31,51.18,,2022-09-14
C100002,2022-09-30,49.3,,2022-10-14
C100002,2022-10-31,49.14,,2022-11-14
C100002,2022-11-30,50.79,,2022-12-14
C100002,2022-12-31,49.34,,2023-01-14
C100002,2023-01-31,51.7,,2023-02-14
C100002,2023-02-28,49.19,,2023-03-14
C100002,2023-03-31,50.74,,2023-04-14
C100002,2023-04-30,51.15,,2023-05-14
C100002,2023-05-31,49.6,,2023-06-14
C100002,2023-06-30,50.77,,2023-07-14
C100002,2023-07-31,51.63,,2023-08-14
C100002,2023-08-31,51.62,,2023-09-14
C100002,2023-09-30,49.19,,2023-10-14
C100002,2023-10-31,49.09,,2023-11-14
C100002,2023-11-30,49.66,,2023-12-14
C100002,2023-12-31,48.92,,2024-01-14
C100002,2024-01-31,49.17,,2024-02-14
C100002,2024-02-29,49.9,,2024-03-14
C100002,2024-03-31,48.78,,2024-04-14
C100002,2024-04-30,48.95,,2024-05-14
C100002,2024-05-31,51.65,,2024-06-14
C100002,2024-06-30,50.91,,2024-07-14
C100002,2024-07-31,49.68,,2024-08-14
