customer_id,action_date,action
C100000,2023-04-21,Reminder Sent
C100000,2023-05-05,Second Reminder
C100000,2023-05-12,Arrangement Agreed
C100000,2023-09-21,Reminder Sent
C100000,2023-10-05,Second Reminder
C100000,2024-04-21,Reminder Sent
C100000,2024-07-21,Reminder Sent
C100001,2023-07-21,Reminder Sent
C100001,2024-10-21,Reminder Sent
C100001,2025-05-21,Reminder Sent
C100001,2025-06-04,Second Reminder
C100001,2025-06-11,Arrangement Agreed
C100002,2022-10-21,Reminder Sent
C100002,2022-11-04,Second Reminder
C100002,2023-07-21,Reminder Sent
C100002,2023-08-04,Second Reminder
C100002,2023-11-21,Reminder Sent
C100002,2025-07-21,Reminder Sent
C100002,2025-08-04,Second Reminder
C100003,2022-11-21,Reminder Sent
C100003,2022-12-05,Second Reminder
C100003,2022-12-12,Arrangement Agreed
C100003,2023-01-31,Arrangement Broken
C100003,2023-06-21,Reminder Sent
C100003,2023-07-05,Second Reminder
C100003,2024-04-21,Reminder Sent
C100003,2024-05-05,Second Reminder
C100003,2025-01-21,Reminder Sent
C100003,2025-02-04,Second Reminder
C100004,2022-11-21,Reminder Sent
C100004,2023-01-21,Reminder Sent
C100004,2023-02-04,Second Reminder
C100004,2023-06-21,Reminder Sent
C100004,2023-07-05,Second Reminder
C100004,2023-07-12,Arrangement Agreed
C100004,2023-07-31,Arrangement Broken
C100004,2023-10-21,Reminder Sent
C100004,2023-11-04,Second Reminder
C100004,2023-11-21,Reminder Sent
C100004,2023-12-05,Second Reminder
C100004,2023-12-12,Arrangement Agreed
C100004,2024-02-21,Reminder Sent
C100004,2024-03-06,Second Reminder
C100004,2024-06-21,Reminder Sent
C100004,2024-12-21,Reminder Sent
C100004,2025-01-04,Second Reminder
C100004,2025-04-21,Reminder Sent
C100004,2025-05-05,Second Reminder
C100004,2025-05-12,Arrangement Agreed
C100004,2025-06-06,Arrangement Broken
C100005,2022-02-21,Reminder Sent
C100005,2022-03-07,Second Reminder
C100005,2022-03-14,Arrangement Agreed
C100005,2022-06-21,Reminder Sent
C100005,2022-07-05,Second Reminder
C100005,2022-07-12,Arrangement Agreed
C100005,2022-07-21,Reminder Sent
C100005,2022-08-04,Second Reminder
C100005,2022-08-11,Arrangement Agreed
C100005,2022-09-06,Arrangement Broken
C100005,2023-05-21,Reminder Sent
C100005,2023-06-04,Second Reminder
C100005,2023-08-21,Reminder Sent
C100005,2024-08-21,Reminder Sent
C100005,2024-09-04,Second Reminder
C100005,2025-06-21,Reminder Sent
C100005,2025-09-21,Reminder Sent
C100006,2025-03-21,Reminder Sent
C100007,2022-12-21,Reminder Sent
C100007,2023-01-04,Second Reminder
C100007,2025-11-21,Reminder Sent
C100007,2025-12-05,Second Reminder
C100008,2022-07-21,Reminder Sent
C100008,2023-04-21,Reminder Sent
C100008,2023-05-05,Second Reminder
C100008,2023-05-12,Arrangement Agreed
C100008,2023-06-21,Reminder Sent
C100008,2023-06-22,Arrangement Broken
C100008,2023-07-05,Second Reminder
C100008,2023-07-12,Arrangement Agreed
C100008,2023-11-21,Reminder Sent
C100008,2023-12-21,Reminder Sent
C100008,2025-06-21,Reminder Sent
C100008,2025-07-21,Reminder Sent
C100008,2025-08-04,Second Reminder
C100008,2025-08-11,Arrangement Agreed
C100008,2025-11-21,Reminder Sent
C100008,2025-12-05,Second Reminder
C100008,2025-12-12,Arrangement Agreed
C100008,2025-12-30,Arrangement Broken
C100009,2022-09-21,Reminder Sent
C100009,2023-03-21,Reminder Sent
C100009,2023-07-21,Reminder Sent
C100009,2023-08-04,Second Reminder
C100009,2024-01-21,Reminder Sent
C100010,2022-03-21,Reminder Sent
C100010,2022-06-21,Reminder Sent
C100010,2022-08-21,Reminder Sent
C100010,2022-09-04,Second Reminder
C100010,2022-10-21,Reminder Sent
C100010,2022-11-04,Second Reminder
C100010,2022-11-11,Arrangement Agreed
C100010,2022-12-21,Reminder Sent
C100010,2023-01-04,Second Reminder
C100010,2023-01-11,Arrangement Agreed
C100010,2023-01-25,Arrangement Broken
C100010,2023-07-21,Reminder Sent
C100010,2023-08-04,Second Reminder
C100010,2023-08-11,Arrangement Agreed
C100010,2023-11-21,Reminder Sent
C100010,2023-12-05,Second Reminder
C100010,2023-12-12,Arrangement Agreed
C100010,2024-06-21,Reminder Sent
C100010,2024-07-05,Second Reminder
C100010,2024-10-21,Reminder Sent
C100010,2024-11-04,Second Reminder
C100010,2024-11-11,Arrangement Agreed
C100010,2025-08-21,Reminder Sent
C100011,2022-09-21,Reminder Sent
C100011,2022-10-05,Second Reminder
C100011,2022-11-21,Reminder Sent
C100011,2022-12-05,Second Reminder
C100011,2023-03-21,Reminder Sent
C100011,2023-04-21,Reminder Sent
C100011,2023-05-05,Second Reminder
C100011,2023-05-12,Arrangement Agreed
C100011,2023-09-21,Reminder Sent
C100011,2023-10-05,Second Reminder
C100011,2023-10-21,Reminder Sent
C100011,2024-01-21,Reminder Sent
C100011,2025-02-21,Reminder Sent
C100011,2025-03-07,Second Reminder
C100011,2025-03-21,Reminder Sent
C100011,2025-04-04,Second Reminder
C100011,2025-10-21,Reminder Sent
C100012,2022-07-21,Reminder Sent
C100012,2022-08-04,Second Reminder
C100012,2024-01-21,Reminder Sent
C100012,2024-02-04,Second Reminder
C100012,2025-07-21,Reminder Sent
C100012,2025-12-21,Reminder Sent
C100012,2026-01-04,Second Reminder
C100012,2026-01-11,Arrangement Agreed
C100014,2025-09-21,Reminder Sent
C100014,2025-10-05,Second Reminder
C100015,2022-06-21,Reminder Sent
C100015,2022-07-05,Second Reminder
C100015,2023-05-21,Reminder Sent
C100015,2023-06-04,Second Reminder
C100015,2024-11-21,Reminder Sent
C100015,2024-12-05,Second Reminder
C100015,2025-04-21,Reminder Sent
C100015,2025-05-05,Second Reminder
C100015,2025-05-12,Arrangement Agreed
C100015,2025-06-21,Reminder Sent
C100015,2025-09-21,Reminder Sent
C100015,2025-10-05,Second Reminder
C100015,2025-10-12,Arrangement Agreed
C100015,2025-11-04,Arrangement Broken
C100015,2025-11-21,Reminder Sent
C100015,2026-01-21,Reminder Sent
C100016,2022-07-21,Reminder Sent
C100016,2022-08-04,Second Reminder
C100016,2022-08-11,Arrangement Agreed
C100016,2022-11-21,Reminder Sent
C100016,2022-12-05,Second Reminder
C100016,2022-12-21,Reminder Sent
C100016,2023-01-04,Second Reminder
C100016,2023-04-21,Reminder Sent
C100016,2023-05-05,Second Reminder
C100016,2023-06-21,Reminder Sent
C100016,2023-08-21,Reminder Sent
C100016,2023-09-04,Second Reminder
C100016,2023-09-11,Arrangement Agreed
C100016,2025-08-21,Reminder Sent
C100016,2025-09-04,Second Reminder
C100016,2025-09-11,Arrangement Agreed
C100016,2025-11-21,Reminder Sent
C100016,2026-01-21,Reminder Sent
C100018,2022-04-21,Reminder Sent
C100018,2022-05-05,Second Reminder
C100018,2022-05-12,Arrangement Agreed
C100018,2022-06-17,Arrangement Broken
C100018,2023-03-21,Reminder Sent
C100018,2023-04-04,Second Reminder
C100018,2023-04-11,Arrangement Agreed
C100018,2023-05-06,Arrangement Broken
C100018,2023-08-21,Reminder Sent
C100018,2023-09-04,Second Reminder
C100018,2024-01-21,Reminder Sent
C100018,2024-04-21,Reminder Sent
C100018,2024-05-05,Second Reminder
C100018,2024-06-21,Reminder Sent
C100018,2024-07-05,Second Reminder
C100018,2024-07-12,Arrangement Agreed
C100018,2024-08-10,Arrangement Broken
C100018,2025-01-21,Reminder Sent
C100018,2025-02-04,Second Reminder
C100018,2025-03-21,Reminder Sent
C100018,2025-04-04,Second Reminder
C100018,2025-04-21,Reminder Sent
C100018,2025-05-05,Second Reminder
C100018,2025-07-21,Reminder Sent
C100018,2025-12-21,Reminder Sent
C100018,2026-01-04,Second Reminder
C100018,2026-01-11,Arrangement Agreed
C100018,2026-01-21,Reminder Sent
C100018,2026-02-04,Second Reminder
C100018,2026-02-04,Arrangement Broken
C100019,2022-02-21,Reminder Sent
C100019,2022-03-07,Second Reminder
C100019,2022-03-21,Reminder Sent
C100019,2022-04-04,Second Reminder
C100019,2022-04-11,Arrangement Agreed
C100019,2022-11-21,Reminder Sent
C100019,2022-12-05,Second Reminder
C100019,2022-12-21,Reminder Sent
C100019,2023-01-04,Second Reminder
C100019,2023-01-11,Arrangement Agreed
C100019,2023-03-21,Reminder Sent
C100019,2023-09-21,Reminder Sent
C100019,2023-10-05,Second Reminder
C100019,2023-10-12,Arrangement Agreed
C100019,2023-11-21,Reminder Sent
C100019,2023-12-05,Second Reminder
C100019,2023-12-21,Reminder Sent
C100019,2024-01-04,Second Reminder
C100019,2024-01-11,Arrangement Agreed
C100019,2024-02-08,Arrangement Broken
C100019,2024-02-21,Reminder Sent
C100019,2024-08-21,Reminder Sent
C100019,2024-11-21,Reminder Sent
C100019,2024-12-05,Second Reminder
C100019,2024-12-21,Reminder Sent
C100019,2025-01-04,Second Reminder
C100019,2025-06-21,Reminder Sent
C100019,2025-07-05,Second Reminder
C100019,2025-07-12,Arrangement Agreed
C100019,2025-07-21,Reminder Sent
C100019,2025-08-04,Second Reminder
C100019,2025-11-21,Reminder Sent
C100019,2025-12-21,Reminder Sent
C100019,2026-01-04,Second Reminder
C100019,2026-01-11,Arrangement Agreed
C100019,2026-02-19,Arrangement Broken
C100020,2022-09-21,Reminder Sent
C100020,2022-10-05,Second Reminder
C100020,2022-10-12,Arrangement Agreed
C100020,2024-08-21,Reminder Sent
C100020,2025-02-21,Reminder Sent
C100020,2025-03-21,Reminder Sent
C100020,2025-04-04,Second Reminder
C100020,2025-12-21,Reminder Sent
C100020,2026-01-04,Second Reminder
C100020,2026-01-11,Arrangement Agreed
C100021,2022-09-21,Reminder Sent
C100021,2022-11-21,Reminder Sent
C100021,2022-12-05,Second Reminder
C100021,2023-01-21,Reminder Sent
C100021,2023-02-04,Second Reminder
C100021,2023-06-21,Reminder Sent
C100021,2023-07-05,Second Reminder
C100021,2023-07-21,Reminder Sent
C100021,2023-09-21,Reminder Sent
C100021,2023-10-05,Second Reminder
C100021,2024-03-21,Reminder Sent
C100021,2024-09-21,Reminder Sent
C100021,2024-10-05,Second Reminder
C100021,2025-01-21,Reminder Sent
C100021,2025-02-04,Second Reminder
C100021,2025-02-11,Arrangement Agreed
C100021,2025-02-21,Reminder Sent
C100021,2025-03-07,Second Reminder
C100021,2025-03-14,Arrangement Agreed
C100021,2025-06-21,Reminder Sent
C100021,2025-07-05,Second Reminder
C100022,2024-02-21,Reminder Sent
C100022,2024-03-06,Second Reminder
C100022,2024-03-13,Arrangement Agreed
C100022,2025-06-21,Reminder Sent
C100022,2025-07-05,Second Reminder
C100022,2025-09-21,Reminder Sent
C100022,2025-10-05,Second Reminder
C100023,2023-02-21,Reminder Sent
C100023,2023-03-07,Second Reminder
C100023,2023-03-14,Arrangement Agreed
C100023,2025-05-21,Reminder Sent
C100023,2025-06-04,Second Reminder
C100024,2022-12-21,Reminder Sent
C100024,2023-01-04,Second Reminder
C100024,2023-01-11,Arrangement Agreed
C100024,2024-10-21,Reminder Sent
C100024,2024-11-04,Second Reminder
C100024,2025-10-21,Reminder Sent
C100024,2025-11-04,Second Reminder
C100024,2025-11-11,Arrangement Agreed
C100025,2022-11-21,Reminder Sent
C100025,2022-12-05,Second Reminder
C100025,2023-03-21,Reminder Sent
C100025,2023-04-04,Second Reminder
C100025,2023-04-11,Arrangement Agreed
C100025,2023-06-21,Reminder Sent
C100025,2023-07-05,Second Reminder
C100025,2023-07-12,Arrangement Agreed
C100026,2022-05-21,Reminder Sent
C100026,2022-07-21,Reminder Sent
C100026,2022-08-04,Second Reminder
