customer_id,payment_date,amount,method
C100000,2022-02-14,42.72,Bank Transfer
C100000,2022-03-14,38.43,Bank Transfer
C100000,2022-04-18,42.01,Direct Debit
C100000,2022-05-12,26.89,Direct Debit
C100000,2022-06-13,40.54,Direct Debit
C100000,2022-07-14,36.58,Card
C100000,2022-08-14,20.53,Cash
C100000,2022-09-20,30.85,Bank Transfer
C100000,2022-10-14,33.15,Direct Debit
C100000,2022-11-12,34.33,Direct Debit
C100000,2022-12-13,60.23,Bank Transfer
C100000,2023-01-13,32.57,Direct Debit
C100000,2023-02-13,41.89,Direct Debit
C100000,2023-03-18,33.46,PayPoint
C100000,2023-05-19,55.45,Direct Debit
C100000,2023-06-14,49.29,Bank Transfer
C100000,2023-07-12,41.44,Bank Transfer
C100000,2023-08-12,32.6,Bank Transfer
C100000,2023-10-12,38.98,Direct Debit
C100000,2023-11-19,53.19,Cash
C100000,2023-12-16,37.34,Direct Debit
C100000,2024-01-14,41.36,Card
C100000,2024-02-16,44.05,Direct Debit
C100000,2024-03-13,24.4,Cash
C100000,2024-05-13,42.12,Direct Debit
C100000,2024-06-15,24.8,Direct Debit
C100000,2024-08-16,30.05,Card
C100000,2024-09-12,38.17,Bank Transfer
C100000,2024-10-20,54.5,Direct Debit
C100000,2024-11-18,52.73,Bank Transfer
C100000,2024-12-17,35.36,Direct Debit
C100000,2025-01-14,36.17,Direct Debit
C100000,2025-02-17,38.82,Bank Transfer
C100000,2025-03-20,42.35,Direct Debit
C100000,2025-04-17,34.89,Direct Debit
C100000,2025-05-21,37.72,Direct Debit
C100000,2025-06-21,52.3,Direct Debit
C100000,2025-07-20,40.08,Direct Debit
C100000,2025-08-15,30.57,Card
C100000,2025-09-16,32.01,Direct Debit
C100000,2025-10-12,32.51,Card
C100000,2025-11-15,21.57,Card
C100000,2025-12-18,33.27,PayPoint
C100000,2026-01-19,36.69,Direct Debit
C100001,2022-02-12,51.37,Direct Debit
C100001,2022-03-20,43.24,Direct Debit
C100001,2022-04-21,48.9,Direct Debit
C100001,2022-05-18,38.72,Direct Debit
C100001,2022-06-21,49.17,Card
C100001,2022-07-17,30.25,Card
C100001,2022-08-17,27.43,Direct Debit
C100001,2022-09-13,29.14,Direct Debit
C100001,2022-10-19,33.37,Card
C100001,2022-11-14,52.84,Direct Debit
C100001,2022-12-21,49.68,PayPoint
C100001,2023-01-16,38.63,Direct Debit
C100001,2023-02-17,42.32,Direct Debit
C100001,2023-03-17,53.96,PayPoint
C100001,2023-04-19,27.05,PayPoint
C100001,2023-05-17,39.21,Direct Debit
C100001,2023-06-13,47.29,Direct Debit
C100001,2023-08-12,41.18,Direct Debit
C100001,2023-09-13,35.58,Direct Debit
C100001,2023-10-13,58.41,Card
C100001,2023-11-21,49.01,Direct Debit
C100001,2023-12-12,48.85,Direct Debit
C100001,2024-01-13,30.82,PayPoint
C100001,2024-02-16,32.84,Direct Debit
C100001,2024-03-16,42.14,Bank Transfer
C100001,2024-04-15,52.62,Direct Debit
C100001,2024-05-17,31.09,Cash
C100001,2024-06-21,51.62,Direct Debit
C100001,2024-07-12,42.83,Card
C100001,2024-08-20,38.46,Bank Transfer
C100001,2024-09-17,35.09,Direct Debit
C100001,2024-11-16,35.07,Direct Debit
C100001,2024-12-13,33.81,Bank Transfer
C100001,2025-01-17,31.87,Direct Debit
C100001,2025-02-18,40.62,Direct Debit
C100001,2025-03-12,42.27,Direct Debit
C100001,2025-04-13,53.62,Direct Debit
C100001,2025-06-19,35.75,Direct Debit
C100001,2025-07-20,31.79,Direct Debit
C100001,2025-08-16,38.23,Direct Debit
C100001,2025-09-12,41.86,Direct Debit
C100001,2025-10-13,41.5,PayPoint
C100001,2025-11-12,32.3,Direct Debit
C100001,2025-12-19,58.01,Bank Transfer
C100001,2026-01-14,50.26,Bank Transfer
C100002,2022-02-15,48.0,Direct Debit
C100002,2022-03-12,50.45,Direct Debit
C100002,2022-04-19,50.84,Card
C100002,2022-05-20,54.33,Card
C100002,2022-06-13,53.76,Direct Debit
C100002,2022-07-14,50.12,Bank Transfer
C100002,2022-08-14,49.86,Direct Debit
C100002,2022-09-20,47.69,Direct Debit
C100002,2022-11-13,48.5,Direct Debit
C100002,2022-12-14,41.39,Bank Transfer
C100002,2023-01-16,47.27,Direct Debit
C100002,2023-02-19,51.65,Direct Debit
C100002,2023-03-21,54.95,Direct Debit
C100002,2023-04-12,55.19,Direct Debit
C100002,2023-05-21,51.6,Bank Transfer
C100002,2023-06-16,53.49,Direct Debit
C100002,2023-08-18,47.82,Direct Debit
C100002,2023-09-12,60.14,Direct Debit
C100002,2023-10-13,45.17,Direct Debit
C100002,2023-12-13,35.14,Bank Transfer
C100002,2024-01-15,56.41,Direct Debit
C100002,2024-02-19,46.47,Card
C100002,2024-03-15,60.2,Card
C100002,2024-04-19,46.52,Direct Debit
C100002,2024-05-20,43.75,Direct Debit
C100002,2024-06-13,50.63,Direct Debit
C100002,2024-07-20,59.26,Bank Transfer
C100002,2024-08-14,39.86,Cash
C100002,2024-09-20,47.38,Card
C100002,2024-10-14,44.2,Bank Transfer
C100002,2024-11-15,51.83,Bank Transfer
C100002,2024-12-16,50.77,Card
C100002,2025-01-18,52.69,Bank Transfer
C100002,2025-02-19,49.31,Direct Debit
C100002,2025-03-21,57.59,Direct Debit
C100002,2025-04-16,42.11,Bank Transfer
C100002,2025-05-20,60.03,Direct Debit
C100002,2025-06-12,55.93,Card
C100002,2025-08-18,51.47,Bank Transfer
C100002,2025-09-13,64.93,Card
C100002,2025-10-16,55.04,Direct Debit
C100002,2025-11-17,40.65,Card
C100002,2025-12-15,50.91,Direct Debit
C100002,2026-01-18,47.22,Card
C100003,2022-02-21,46.5,Card
C100003,2022-03-17,38.8,Direct Debit
C100003,2022-04-20,45.26,Direct Debit
C100003,2022-05-17,44.09,Cash
C100003,2022-06-17,45.38,Direct Debit
C100003,2022-07-13,30.36,PayPoint
C100003,2022-08-21,30.27,Card
C100003,2022-09-15,34.95,Direct Debit
C100003,2022-10-13,34.82,Cash
C100003,2022-12-12,48.62,Direct Debit
C100003,2023-01-12,50.82,Direct Debit
C100003,2023-02-18,52.61,Bank Transfer
C100003,2023-03-21,26.18,Direct Debit
C100003,2023-04-14,27.47,Direct Debit
C100003,2023-05-12,35.9,Direct Debit
C100003,2023-07-13,38.35,Direct Debit
C100003,2023-08-14,24.5,PayPoint
C100003,2023-09-20,47.57,Direct Debit
C100003,2023-10-13,50.12,Card
C100003,2023-11-13,38.7,Direct Debit
C100003,2023-12-12,51.67,Direct Debit
C100003,2024-01-15,44.99,Cash
C100003,2024-02-16,38.19,Card
C100003,2024-03-19,43.98,PayPoint
C100003,2024-05-15,31.42,Direct Debit
C100003,2024-06-14,40.91,Direct Debit
C100003,2024-07-19,47.78,Card
C100003,2024-08-19,38.68,Bank Transfer
C100003,2024-09-18,45.62,Direct Debit
C100003,2024-10-14,40.99,Card
C100003,2024-11-15,29.57,Direct Debit
C100003,2024-12-21,38.4,Direct Debit
C100003,2025-02-15,40.24,Cash
C100003,2025-03-12,48.71,Direct Debit
C100003,2025-04-21,48.32,PayPoint
C100003,2025-05-19,46.49,Direct Debit
C100003,2025-06-13,36.69,Direct Debit
C100003,2025-07-18,34.83,Direct Debit
C100003,2025-08-18,43.27,Card
C100003,2025-09-20,34.11,Direct Debit
C100003,2025-10-12,28.12,Card
C100003,2025-11-18,42.32,Direct Debit
C100003,2025-12-16,37.75,Direct Debit
C100003,2026-01-21,25.2,Direct Debit
C100004,2022-02-16,31.35,Direct Debit
C100004,2022-03-21,20.33,Direct Debit
C100004,2022-04-21,34.51,Direct Debit
C100004,2022-05-21,36.94,PayPoint
C100004,2022-06-19,41.91,Direct Debit
C100004,2022-07-13,27.94,Direct Debit
C100004,2022-08-13,34.93,Direct Debit
C100004,2022-09-14,42.35,Bank Transfer
C100004,2022-10-19,59.15,Direct Debit
C100004,2022-12-17,32.12,Card
C100004,2023-02-12,47.1,Bank Transfer
C100004,2023-03-19,42.35,Direct Debit
C100004,2023-04-13,51.62,Card
C100004,2023-05-19,39.45,Direct Debit
C100004,2023-07-13,42.32,Direct Debit
C100004,2023-08-12,29.67,Direct Debit
C100004,2023-09-18,42.06,Bank Transfer
C100004,2023-12-13,27.34,Direct Debit
C100004,2024-01-16,37.19,Direct Debit
C100004,2024-03-13,44.97,Direct Debit
C100004,2024-04-17,42.82,Direct Debit
C100004,2024-05-20,38.92,PayPoint
C100004,2024-07-20,42.16,PayPoint
C100004,2024-08-13,39.75,Cash
C100004,2024-09-13,45.53,Card
C100004,2024-10-14,48.86,Card
C100004,2024-11-18,34.18,Direct Debit
C100004,2025-01-21,49.86,Direct Debit
C100004,2025-02-14,37.81,Card
C100004,2025-03-19,35.86,Card
C100004,2025-05-13,42.11,Direct Debit
C100004,2025-06-20,39.62,Direct Debit
C100004,2025-07-12,31.46,Card
C100004,2025-08-19,32.01,Direct Debit
C100004,2025-09-14,44.1,Direct Debit
C100004,2025-10-15,22.27,Bank Transfer
C100004,2025-11-19,46.13,Bank Transfer
C100004,2025-12-21,38.6,Bank Transfer
C100004,2026-01-12,68.45,Direct Debit
C100005,2022-03-15,34.62,Direct Debit
C100005,2022-04-18,19.83,Card
C100005,2022-05-17,51.31,Direct Debit
C100005,2022-08-18,31.59,Direct Debit
C100005,2022-09-19,37.99,Bank Transfer
C100005,2022-10-16,49.21,Bank Transfer
C100005,2022-11-16,36.68,Direct Debit
C100005,2022-12-17,41.23,Bank Transfer
C100005,2023-01-19,44.61,Bank Transfer
C100005,2023-02-18,45.66,Bank Transfer
C100005,2023-03-14,46.21,Card
C100005,2023-04-19,41.61,Direct Debit
C100005,2023-06-20,28.45,PayPoint
C100005,2023-07-15,41.92,Direct Debit
C100005,2023-09-15,32.46,Direct Debit
C100005,2023-10-19,30.53,Cash
C100005,2023-11-15,44.72,Direct Debit
C100005,2023-12-19,49.69,PayPoint
C100005,2024-01-19,14.92,Card
C100005,2024-02-12,32.83,Card
C100005,2024-03-18,38.72,Direct Debit
C100005,2024-04-16,33.75,Direct Debit
C100005,2024-05-15,35.94,Direct Debit
C100005,2024-06-18,21.88,Direct Debit
C100005,2024-07-13,34.94,Bank Transfer
C100005,2024-09-14,27.05,Direct Debit
C100005,2024-10-14,27.27,Card
C100005,2024-11-15,39.92,Card
C100005,2024-12-20,45.68,Cash
C100005,2025-01-19,40.35,Direct Debit
C100005,2025-02-18,52.07,Direct Debit
C100005,2025-03-20,30.78,Cash
C100005,2025-04-19,40.6,Card
C100005,2025-05-19,39.49,Card
C100005,2025-07-18,36.16,Direct Debit
C100005,2025-08-18,40.81,Direct Debit
C100005,2025-10-16,39.41,Direct Debit
C100005,2025-11-21,44.49,Direct Debit
C100005,2025-12-21,28.67,Direct Debit
C100005,2026-01-18,31.27,Direct Debit
C100006,2022-02-18,57.26,Direct Debit
C100006,2022-03-18,34.81,Direct Debit
C100006,2022-04-18,46.0,Bank Transfer
C100006,2022-05-19,40.54,Direct Debit
C100006,2022-06-21,43.06,Direct Debit
C100006,2022-07-14,38.72,PayPoint
C100006,2022-08-16,34.58,Direct Debit
C100006,2022-09-17,43.27,Direct Debit
C100006,2022-10-21,34.0,Card
C100006,2022-11-14,42.84,Direct Debit
C100006,2022-12-18,28.23,PayPoint
C100006,2023-01-16,43.64,Direct Debit
C100006,2023-02-12,41.41,Direct Debit
C100006,2023-03-17,37.01,Direct Debit
C100006,2023-04-14,45.77,Direct Debit
C100006,2023-05-20,41.24,Direct Debit
C100006,2023-06-20,41.87,Direct Debit
C100006,2023-07-18,41.66,Direct Debit
C100006,2023-08-16,40.6,Direct Debit
C100006,2023-09-19,45.15,Direct Debit
C100006,2023-10-19,55.52,Direct Debit
C100006,2023-11-20,32.69,Direct Debit
C100006,2023-12-16,39.71,Card
C100006,2024-01-14,40.41,Card
C100006,2024-02-14,48.3,Direct Debit
C100006,2024-03-19,51.83,Direct Debit
C100006,2024-04-19,38.73,Card
C100006,2024-05-13,33.44,Direct Debit
C100006,2024-06-14,43.41,Direct Debit
C100006,2024-07-21,40.72,Direct Debit
C100006,2024-08-19,34.46,Card
C100006,2024-09-12,23.85,Card
C100006,2024-10-21,44.05,Direct Debit
C100006,2024-11-16,40.21,Card
C100006,2024-12-15,41.68,Direct Debit
C100006,2025-01-13,43.79,Direct Debit
C100006,2025-02-17,43.03,Direct Debit
C100006,2025-04-21,34.17,Direct Debit
C100006,2025-05-18,35.72,Direct Debit
C100006,2025-06-13,38.18,Card
C100006,2025-07-21,34.17,Direct Debit
C100006,2025-08-17,37.39,Direct Debit
C100006,2025-09-21,20.52,Card
C100006,2025-10-14,37.97,Cash
C100006,2025-11-21,52.81,Cash
C100006,2025-12-20,59.89,Direct Debit
C100006,2026-01-21,27.89,PayPoint
C100007,2022-02-20,49.54,Direct Debit
C100007,2022-03-12,42.69,Card
C100007,2022-04-13,39.21,Direct Debit
C100007,2022-05-13,32.7,Card
C100007,2022-06-21,34.44,Card
C100007,2022-07-21,33.94,Direct Debit
C100007,2022-08-14,21.86,Card
